"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"France(*)","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","940,214","153.0","1,648,052","266.9","2,581,248","367.0","1,390,900","212.0","939,709","154.8","1,267,396","189.3","1,284,581","190.1","2,366,924","325.0","2,171,129","298.0","1,606,437","214.0","1,816,068","259.5","1,458,022","227.7","19,470,680","2,857.2","-20","-12","US","FR","3501105000",""
"France(*)","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","2,103,882","323.5","1,206,743","171.8","3,102,790","480.0","1,398,930","249.9","1,721,064","315.3","2,234,398","369.3","2,812,397","472.3","2,506,656","425.9","775,598","124.5","2,693,147","440.4","2,296,166","412.6","2,592,985","465.2","25,444,756","4,250.7","13","13","US","FR","3501105000",""
"France(*)","2","3501101000","MLK PROT CNCNTRT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","365,197","16.0","69,921","9.0","49,993","6.6","0","0.0","0","0.0","77,792","12.8","562,903","44.4","","","US","FR","3501101000",""
"France(*)","2","3501101000","MLK PROT CNCNTRT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","119,040","19.7","0","0.0","0","0.0","0","0.0","0","0.0","13,920","1.6","0","0.0","0","0.0","132,960","21.3","","","US","FR","3501101000",""
"France(*)","3","3501902000","CASEIN GLUES","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,490","1.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,490","1.4","","","US","FR","3501902000",""
"France(*)","3","3501902000","CASEIN GLUES","2016-2016","MT","0","0.0","0","0.0","0","0.0","6,850","1.0","7,000","-","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13,850","1.0","","","US","FR","3501902000",""
"France(*)","3","3501902000","CASEIN GLUES","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","28,137","29.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","28,137","29.6","","","US","FR","3501902000",""
"France(*)","3","3501902000","CASEIN GLUES","2018-2018","MT","68,770","72.5","0","0.0","0","0.0","9,475","1.2","8,040","1.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","86,285","74.7","","","US","FR","3501902000",""
"France(*)","4","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","347,934","37.9","177,589","19.8","455,939","52.6","0","0.0","447,618","38.8","0","0.0","330,683","42.8","0","0.0","0","0.0","0","0.0","394,239","58.6","549,890","83.1","2,703,892","333.6","39","42","US","FR","3501906000",""
"France(*)","4","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","753,984","114.6","0","0.0","237,400","33.2","0","0.0","885,847","136.6","472,170","76.8","746,080","124.6","351,182","60.5","569,674","95.0","602,379","95.0","715,818","112.7","0","0.0","5,334,534","849.1","","","US","FR","3501906000",""
"France(*)","4","3501906000","CSNT/OC,NT-CA/GL","2017-2017","MT","180,089","24.0","0","0.0","0","0.0","0","0.0","0","0.0","6,593","0.2","0","0.0","3,500","0.4","65,000","7.7","0","0.0","0","0.0","0","0.0","255,182","32.2","","","US","FR","3501906000",""
"France(*)","4","3501906000","CSNT/OC,NT-CA/GL","2018-2018","MT","0","0.0","3,966","0.5","0","0.0","0","0.0","333,160","39.5","68,780","8.1","0","0.0","59,800","7.1","0","0.0","0","0.0","0","0.0","0","0.0","465,706","55.2","","","US","FR","3501906000",""
"Poland","1","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","695,244","77.5","0","0.0","646,633","77.0","734,946","97.5","1,970,839","253.5","1,662,917","214.0","1,291,965","175.0","1,545,279","234.0","338,424","58.5","823,236","117.0","1,564,787","234.0","2,886,549","410.5","14,160,819","1,948.5","84","75","US","PL","3501906000",""
"Poland","1","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","1,293,705","195.0","1,055,880","160.6","2,172,073","343.5","2,056,814","316.5","1,298,134","203.0","1,942,353","313.2","966,905","168.0","1,594,996","265.5","1,057,625","172.0","694,710","116.4","824,366","137.0","1,404,977","219.5","16,362,538","2,610.2","70","60","US","PL","3501906000",""
"Poland","1","3501906000","CSNT/OC,NT-CA/GL","2017-2017","MT","1,184,131","188.5","1,741,294","270.0","1,082,034","172.0","837,771","113.5","1,715,949","254.5","1,034,985","158.8","1,040,305","141.5","2,025,796","273.5","878,619","117.0","1,210,001","168.0","1,851,303","250.5","740,148","103.5","15,342,336","2,211.3","-60","-59","US","PL","3501906000",""
"Poland","1","3501906000","CSNT/OC,NT-CA/GL","2018-2018","MT","0","0.0","135,428","19.5","1,460,841","205.0","534,003","78.0","700,425","97.5","821,569","120.0","2,323,293","332.4","868,800","122.0","1,160,583","167.0","1,124,295","165.0","1,465,047","213.5","1,671,444","234.0","12,265,728","1,753.9","14","10","US","PL","3501906000",""
"Poland","2","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","776,080","97.4","155,216","19.5","0","0.0","129,002","19.5","0","0.0","768,114","116.8","896,626","136.4","1,014,645","155.9","1,119,698","175.4","1,130,241","214.4","704,860","136.4","979,069","192.0","7,673,551","1,263.6","39","41","US","PL","3501105000",""
"Poland","2","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","374,881","73.0","880,529","168.8","296,441","58.4","398,228","78.0","98,609","19.5","0","0.0","87,540","19.5","175,080","39.0","698,374","155.8","87,151","19.5","961,056","214.8","1,189,597","248.3","5,247,486","1,094.5","24","16","US","PL","3501105000",""
"Poland","2","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","1,220,097","272.6","1,049,649","204.4","1,709,995","338.5","816,005","175.3","239,348","39.0","0","0.0","0","0.0","580,478","97.4","719,745","116.8","360,855","58.4","1,550,442","257.8","692,354","116.8","8,938,968","1,677.0","-55","-55","US","PL","3501105000",""
"Poland","2","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","0","0.0","237,713","39.0","354,737","58.4","241,013","39.0","612,493","119.0","0","0.0","0","0.0","0","0.0","809,931","143.4","800,911","136.3","186,560","34.0","663,068","119.0","3,906,426","688.1","255","250","US","PL","3501105000",""
"Poland","3","3501902000","CASEIN GLUES","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,558","0.3","0","0.0","0","0.0","0","0.0","0","0.0","2,558","0.3","","","US","PL","3501902000",""
"India","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","2,282,488","292.0","1,856,043","238.2","2,958,017","426.3","2,109,811","315.8","235,806","34.0","0","0.0","664,700","119.3","725,747","136.2","595,000","119.0","1,126,250","221.0","1,824,950","357.0","260,100","51.0","14,638,912","2,309.8","-86","-86","US","IN","3501105000",""
"India","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","276,114","51.0","0","0.0","0","0.0","1,089,490","221.0","548,420","102.0","182,940","34.0","182,940","34.0","1,227,179","255.0","3,087,693","612.0","1,804,669","340.0","1,628,883","271.8","2,675,478","424.6","12,703,806","2,345.4","64","56","US","IN","3501105000",""
"India","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","673,200","102.0","2,019,294","306.0","1,781,022","255.0","1,372,975","204.0","0","0.0","515,000","85.0","971,475","153.0","911,200","136.0","0","0.0","0","0.0","316,047","51.0","0","0.0","8,560,213","1,292.0","","","US","IN","3501105000",""
"India","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","0","0.0","0","0.0","286,362","51.0","648,125","119.0","1,392,300","255.0","663,558","119.1","651,410","119.0","192,950","34.0","747,926","136.1","1,346,587","255.0","3,640,431","679.1","1,697,435","323.7","11,267,084","2,091.0","-53","-52","US","IN","3501105000",""
"India","2","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","655,600","88.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","655,600","88.0","","","US","IN","3501906000",""
"India","2","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","0","0.0","0","0.0","66,000","11.0","0","0.0","499,200","78.0","0","0.0","0","0.0","0","0.0","0","0.0","186,898","34.0","118,800","18.0","0","0.0","870,898","141.0","","","US","IN","3501906000",""
"India","2","3501906000","CSNT/OC,NT-CA/GL","2017-2017","MT","271,050","39.0","0","0.0","519,050","85.0","0","0.0","339,150","51.0","299,326","39.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1,428,576","214.0","","","US","IN","3501906000",""
"India","2","3501906000","CSNT/OC,NT-CA/GL","2018-2018","MT","380,250","58.5","253,500","39.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","73,700","11.0","118,950","19.5","0","0.0","197,650","29.5","1,024,050","157.5","","","US","IN","3501906000",""
